N,Threads,Tempo(s),Primo(s) Encontrado(s)
1000,1,0.000128,168
1000,1,0.000168,168
1000,1,0.000141,168
1000,1,0.000159,168
1000,1,0.000135,168
1000,1,0.000155,168
1000,1,0.000135,168
1000,1,0.000143,168
1000,1,0.000145,168
1000,1,0.000126,168
1000,2,0.000126,168
1000,2,0.000222,168
1000,2,0.000206,168
1000,2,0.000155,168
1000,2,0.000176,168
1000,2,0.000226,168
1000,2,0.000219,168
1000,2,0.000165,168
1000,2,0.000196,168
1000,2,0.000197,168
1000,4,0.000320,168
1000,4,0.000289,168
1000,4,0.000313,168
1000,4,0.000319,168
1000,4,0.000277,168
1000,4,0.000278,168
1000,4,0.000272,168
1000,4,0.000153,168
1000,4,0.000162,168
1000,4,0.000280,168
1000,8,0.000346,168
1000,8,0.000432,168
1000,8,0.000448,168
1000,8,0.000267,168
1000,8,0.000400,168
1000,8,0.000347,168
1000,8,0.000346,168
1000,8,0.000310,168
1000,8,0.000422,168
1000,8,0.000348,168
10000,1,0.000521,1229
10000,1,0.000544,1229
10000,1,0.000511,1229
10000,1,0.000547,1229
10000,1,0.000497,1229
10000,1,0.000518,1229
10000,1,0.000508,1229
10000,1,0.000494,1229
10000,1,0.000634,1229
10000,1,0.000503,1229
10000,2,0.000892,1229
10000,2,0.000808,1229
10000,2,0.001112,1229
10000,2,0.000720,1229
10000,2,0.000817,1229
10000,2,0.001241,1229
10000,2,0.000998,1229
10000,2,0.000988,1229
10000,2,0.001102,1229
10000,2,0.001032,1229
10000,4,0.001103,1229
10000,4,0.000991,1229
10000,4,0.001152,1229
10000,4,0.000919,1229
10000,4,0.000686,1229
10000,4,0.001056,1229
10000,4,0.000959,1229
10000,4,0.000968,1229
10000,4,0.000922,1229
10000,4,0.000885,1229
10000,8,0.001466,1229
10000,8,0.001565,1229
10000,8,0.001308,1229
10000,8,0.001433,1229
10000,8,0.001445,1229
10000,8,0.001559,1229
10000,8,0.001396,1229
10000,8,0.001580,1229
10000,8,0.001396,1229
10000,8,0.001554,1229
100000,1,0.008049,9592
100000,1,0.008325,9592
100000,1,0.008358,9592
100000,1,0.008108,9592
100000,1,0.008228,9592
100000,1,0.008035,9592
100000,1,0.008867,9592
100000,1,0.008397,9592
100000,1,0.007997,9592
100000,1,0.008114,9592
100000,2,0.008501,9592
100000,2,0.008536,9592
100000,2,0.007541,9592
100000,2,0.006607,9592
100000,2,0.008684,9592
100000,2,0.008767,9592
100000,2,0.007823,9592
100000,2,0.007745,9592
100000,2,0.007115,9592
100000,2,0.008197,9592
100000,4,0.010801,9592
100000,4,0.010931,9592
100000,4,0.009516,9592
100000,4,0.009891,9592
100000,4,0.009984,9592
100000,4,0.010027,9592
100000,4,0.010304,9592
100000,4,0.010575,9592
100000,4,0.010939,9592
100000,4,0.009908,9592
100000,8,0.015148,9592
100000,8,0.013705,9592
100000,8,0.014540,9592
100000,8,0.015194,9592
100000,8,0.014988,9592
100000,8,0.014650,9592
100000,8,0.015175,9592
100000,8,0.015009,9592
100000,8,0.014810,9592
100000,8,0.015151,9592
1000000,1,0.186021,78498
1000000,1,0.185580,78498
1000000,1,0.184149,78498
1000000,1,0.186981,78498
1000000,1,0.185116,78498
1000000,1,0.185647,78498
1000000,1,0.185801,78498
1000000,1,0.185478,78498
1000000,1,0.199454,78498
1000000,1,0.171022,78498
1000000,2,0.112960,78498
1000000,2,0.113676,78498
1000000,2,0.105973,78498
1000000,2,0.105097,78498
1000000,2,0.107008,78498
1000000,2,0.108836,78498
1000000,2,0.103076,78498
1000000,2,0.107776,78498
1000000,2,0.107199,78498
1000000,2,0.108122,78498
1000000,4,0.101108,78498
1000000,4,0.103567,78498
1000000,4,0.101798,78498
1000000,4,0.103425,78498
1000000,4,0.108885,78498
1000000,4,0.107286,78498
1000000,4,0.108590,78498
1000000,4,0.102643,78498
1000000,4,0.113766,78498
1000000,4,0.098001,78498
1000000,8,0.140616,78498
1000000,8,0.139658,78498
1000000,8,0.141543,78498
1000000,8,0.145024,78498
1000000,8,0.144577,78498
1000000,8,0.142175,78498
1000000,8,0.144056,78498
1000000,8,0.145009,78498
1000000,8,0.139109,78498
1000000,8,0.143659,78498
10000,12,0.001808,1229
10000,8,0.001670,1229
10000,6,0.001415,1229
10000,4,0.001018,1229
10000,2,0.001222,1229
10000,2,0.001174,1229
10000,8,0.001700,1229
10000,10,0.001666,1229
10000000,10,1.472213,664579
10000000,4,1.458567,664579
10000000,1,4.606246,664579
10000000,2,2.400259,664579
10000000,4,1.456371,664579
10000000,8,1.376701,664579
10000000,12,1.541270,664579
10000000,12,1.572951,664579
