N,Threads,Tempo(s),Primo(s) Encontrado(s),Aceleração,Eficiência
1000,1,0.00014350000000000002,168,1.0,1.0
1000,2,0.00018879999999999998,168,0.7600635593220341,0.38003177966101703
1000,4,0.0002663,168,0.5388659406684191,0.13471648516710477
1000,8,0.0003666,168,0.39143480632842337,0.04892935079105292
10000,1,0.0005277,1229,1.0,1.0
10000,2,0.000971,1229,0.5434603501544799,0.27173017507723995
10000,4,0.0009641000000000001,1229,0.5473498599730318,0.13683746499325794
10000,8,0.0014702,1229,0.3589307577200381,0.04486634471500476
100000,1,0.0082478,9592,1.0,1.0
100000,2,0.0079516,9592,1.0372503647064741,0.5186251823532371
100000,4,0.0102876,9592,0.8017224619930791,0.20043061549826977
100000,8,0.014837,9592,0.5558940486621284,0.06948675608276605
1000000,1,0.1855249,78498,1.0,1.0
1000000,2,0.1079723,78498,1.7182638510062302,0.8591319255031151
1000000,4,0.1049069,78498,1.7684718545681932,0.4421179636420483
1000000,8,0.14254260000000002,78498,1.301540030839903,0.16269250385498787
